distance,target_velocity,target_acceleration,actual_duration,,,,
5,100,100,0.20153824,,,,
5,100,200,0.20137676,,,,
5,100,300,0.20170746,,,,
5,100,400,0.2016093,,,,
5,100,500,0.2016125,,,,
5,100,600,0.20162566,,,,
5,100,700,0.20132896,,,,
5,100,800,0.20148622,,,,
5,100,900,0.20154764,,,,
5,100,1000,0.2014496,,,,
5,200,100,0.20147786,,,,
5,200,200,0.2017132,,,,
5,200,300,0.20157612,,,,
5,200,400,0.20161688,,,,
5,200,500,0.20150574,,,,
5,200,600,0.20148404,,,,
5,200,700,0.20163166,,,,
5,200,800,0.20174328,,,,
5,200,900,0.20164896,,,,
5,200,1000,0.20149002,,,,
5,300,100,0.2439673,,,,
5,300,200,0.20161736,,,,
5,300,300,0.20154146,,,,
5,300,400,0.20149398,,,,
5,300,500,0.20152262,,,,
5,300,600,0.2015258,,,,
5,300,700,0.2013561,,,,
5,300,800,0.20127766,,,,
5,300,900,0.2014904,,,,
5,300,1000,0.20116392,,,,
5,400,100,0.20144468,,,,
5,400,200,0.20172444,,,,
5,400,300,0.20121892,,,,
5,400,400,0.20149606,,,,
5,400,500,0.2016142,,,,
5,400,600,0.20119774,,,,
5,400,700,0.20138266,,,,
5,400,800,0.20176668,,,,
5,400,900,0.20133748,,,,
5,400,1000,0.20141544,,,,
5,500,100,0.20170176,,,,
5,500,200,0.20150804,,,,
5,500,300,0.20139064,,,,
5,500,400,0.20148954,,,,
5,500,500,0.20150874,,,,
5,500,600,0.20180728,,,,
5,500,700,0.20149626,,,,
5,500,800,0.20158624,,,,
5,500,900,0.20163424,,,,
5,500,1000,0.20147062,,,,
5,600,100,0.20169852,,,,
5,600,200,0.20160918,,,,
5,600,300,0.20129672,,,,
5,600,400,0.20160196,,,,
5,600,500,0.20159534,,,,
5,600,600,0.20159216,,,,
5,600,700,0.20151498,,,,
5,600,800,0.20167066,,,,
5,600,900,0.2016133,,,,
5,600,1000,0.20161436,,,,
5,700,100,0.20163574,,,,
5,700,200,0.2013535,,,,
5,700,300,0.20173034,,,,
5,700,400,0.20154134,,,,
5,700,500,0.2015698,,,,
5,700,600,0.2013267,,,,
5,700,700,0.2015129,,,,
5,700,800,0.20150208,,,,
5,700,900,0.20153608,,,,
5,700,1000,0.2018133,,,,
5,800,100,0.20145878,,,,
5,800,200,0.20152622,,,,
5,800,300,0.20242042,,,,
5,800,400,0.2015743,,,,
5,800,500,0.2015342,,,,
5,800,600,0.20151634,,,,
5,800,700,0.201618,,,,
5,800,800,0.20139092,,,,
5,800,900,0.20179318,,,,
5,800,1000,0.20163204,,,,
5,900,100,0.2015219,,,,
5,900,200,0.20157038,,,,
5,900,300,0.20168512,,,,
5,900,400,0.20152222,,,,
5,900,500,0.20134782,,,,
5,900,600,0.20134828,,,,
5,900,700,0.20153536,,,,
5,900,800,0.20161092,,,,
5,900,900,0.20171238,,,,
5,900,1000,0.20145474,,,,
5,1000,100,0.20174148,,,,
5,1000,200,0.20138312,,,,
5,1000,300,0.20174378,,,,
5,1000,400,0.2014226,,,,
5,1000,500,0.20148534,,,,
5,1000,600,0.2014312,,,,
5,1000,700,0.2015679,,,,
5,1000,800,0.20143712,,,,
5,1000,900,0.20169998,,,,
5,1000,1000,0.2017262,,,,
10,100,100,0.41348156,,,,
10,100,200,0.37111516,,,,
10,100,300,0.20149664,,,,
10,100,400,0.20140266,,,,
10,100,500,0.2016275,,,,
10,100,600,0.2017762,,,,
10,100,700,0.2016418,,,,
10,100,800,0.2017029,,,,
10,100,900,0.20152772,,,,
10,100,1000,0.20152098,,,,
10,200,100,0.41360238,,,,
10,200,200,0.41408712,,,,
10,200,300,0.2014357,,,,
10,200,400,0.2015013,,,,
10,200,500,0.20166566,,,,
10,200,600,0.20158676,,,,
10,200,700,0.2014418,,,,
10,200,800,0.2015513,,,,
10,200,900,0.2015399,,,,
10,200,1000,0.20136902,,,,
10,300,100,0.41382744,,,,
10,300,200,0.4133687,,,,
10,300,300,0.20139948,,,,
10,300,400,0.20171358,,,,
10,300,500,0.20153604,,,,
10,300,600,0.20167532,,,,
10,300,700,0.20158806,,,,
10,300,800,0.20141258,,,,
10,300,900,0.20150918,,,,
10,300,1000,0.20124596,,,,
10,400,100,0.41367868,,,,
10,400,200,0.41323984,,,,
10,400,300,0.20160964,,,,
10,400,400,0.20205066,,,,
10,400,500,0.20161772,,,,
10,400,600,0.20159774,,,,
10,400,700,0.20127124,,,,
10,400,800,0.20161894,,,,
10,400,900,0.20163938,,,,
10,400,1000,0.20147832,,,,
10,500,100,0.41387668,,,,
10,500,200,0.41355114,,,,
10,500,300,0.20130366,,,,
10,500,400,0.20161002,,,,
10,500,500,0.20187278,,,,
10,500,600,0.201446,,,,
10,500,700,0.2013863,,,,
10,500,800,0.2017838,,,,
10,500,900,0.20154712,,,,
10,500,1000,0.20152336,,,,
10,600,100,0.41378378,,,,
10,600,200,0.3710591,,,,
10,600,300,0.2016582,,,,
10,600,400,0.20161396,,,,
10,600,500,0.20165766,,,,
10,600,600,0.20156356,,,,
10,600,700,0.20162666,,,,
10,600,800,0.20182818,,,,
10,600,900,0.20151112,,,,
10,600,1000,0.2016796,,,,
10,700,100,0.4140879,,,,
10,700,200,0.41375346,,,,
10,700,300,0.20175038,,,,
10,700,400,0.20142792,,,,
10,700,500,0.20145308,,,,
10,700,600,0.20154934,,,,
10,700,700,0.20155244,,,,
10,700,800,0.20141358,,,,
10,700,900,0.20165668,,,,
